ProductName,ProductModuleName,EditionName,UsageDescription,UsageUnit,CostUSD,CostUnit,IITProductCode,IITProductModuleName,IITEditionName,CustomerID,MarginPercent,MinMargin,IITRrpAUD,CompliantWithPlan,IITMaterialCode,BillingNotes
Hybrid Workloads,Hybrid Workloads,Elite,Cloud Storage,Bytes,176.96,TB/month,BAAS-DC,Backup-as-a-Service for Enterprise Workloads,Premium,,45,20,409,TRUE,00,
Hybrid Workloads,Hybrid Workloads,Elite,Long Term Retention Storage,Bytes,141.57,TB/month,BAAS-DC,Backup-as-a-Service for Enterprise Workloads,Premium,,45,20,330,TRUE,01,
Hybrid Workloads,Hybrid Workloads,Enterprise,Cloud Storage,Bytes,142.99,TB/month,BAAS-DC,Backup-as-a-Service for Enterprise Workloads,Advanced,,45,20,331,TRUE,05,
Hybrid Workloads,Hybrid Workloads,Enterprise,Long Term Retention Storage,Bytes,114.39,TB/month,BAAS-DC,Backup-as-a-Service for Enterprise Workloads,Advanced,,45,20,270,TRUE,06,
Hybrid Workloads,Hybrid Workloads,Business,Cloud Storage,Bytes,118.5,TB/month,BAAS-DC,Backup-as-a-Service for Enterprise Workloads,Basic,,40,20,265,TRUE,10,
SaaS Apps and Endpoints,Microsoft 365,Elite,Active Users,Users,1.77,Users/Month,BAAS-M365,Backup-as-a-Service for Microsoft 365,Premium,,70,30,4.8,TRUE,02,Includes 50GB of pooled storage
SaaS Apps and Endpoints,Microsoft 365,Elite,Preserved Users,Users,0.9,Users/Month,BAAS-M365,Backup-as-a-Service for Microsoft 365,Premium,,70,30,2.5,TRUE,02,"Includes 50GB of pooled storage, first 10% of active users is free"
SaaS Apps and Endpoints,Microsoft 365,Elite,Unlimited Storage,Users,1.44,Users/Month,BAAS-M365,Backup-as-a-Service for Microsoft 365,Premium,,70,30,4,TRUE,02,"Increases storage to 300GB per user, applies to all users"
SaaS Apps and Endpoints,Microsoft 365,Elite,Sensitive Data Governance,Users,1.46,Users/Month,BAAS-M365,Backup-as-a-Service for Microsoft 365,Premium,,70,30,4,TRUE,02,Overlay across all users
SaaS Apps and Endpoints,Microsoft 365,Elite,Security Posture & Observability,Users,1.69,Users/Month,BAAS-M365,Backup-as-a-Service for Microsoft 365,Premium,,70,30,4.6,TRUE,02,Overlay across all users
SaaS Apps and Endpoints,Microsoft 365,Elite,Accelerated Ransomware Recovery,Users,3.38,Users/Month,BAAS-M365,Backup-as-a-Service for Microsoft 365,Premium,,70,30,9.2,TRUE,02,Overlay across all users
SaaS Apps and Endpoints,Microsoft 365,Enterprise,Active Users,Users,1.52,Users/Month,BAAS-M365,Backup-as-a-Service for Microsoft 365,Advanced,,70,30,4.2,TRUE,02,Includes 50GB of pooled storage
SaaS Apps and Endpoints,Microsoft 365,Enterprise,Preserved Users,Users,0.9,Users/Month,BAAS-M365,Backup-as-a-Service for Microsoft 365,Advanced,,70,30,2.5,TRUE,02,"Includes 50GB of pooled storage, first 10% of active users is free"
SaaS Apps and Endpoints,Microsoft 365,Enterprise,Unlimited Storage,Users,1.44,Users/Month,BAAS-M365,Backup-as-a-Service for Microsoft 365,Advanced,,70,30,4,TRUE,02,"Increases storage to 300GB per user, applies to all users"
SaaS Apps and Endpoints,Microsoft 365,Enterprise,Sensitive Data Governance,Users,1.65,Users/Month,BAAS-M365,Backup-as-a-Service for Microsoft 365,Advanced,,70,30,4,TRUE,02,Overlay across all users
SaaS Apps and Endpoints,Microsoft 365,Enterprise,Security Posture & Observability,Users,1.69,Users/Month,BAAS-M365,Backup-as-a-Service for Microsoft 365,Advanced,,70,30,4.6,TRUE,02,Overlay across all users
SaaS Apps and Endpoints,Microsoft 365,Enterprise,Accelerated Ransomware Recovery,Users,3.38,Users/Month,BAAS-M365,Backup-as-a-Service for Microsoft 365,Advanced,,70,30,9.2,TRUE,02,Overlay across all users
SaaS Apps and Endpoints,Microsoft 365,Business,Active Users,Users,0.96,Users/Month,BAAS-M365,Backup-as-a-Service for Microsoft 365,Basic,,70,30,2.7,TRUE,02,Includes 20GB of pooled storage
SaaS Apps and Endpoints,Microsoft 365,Business,Active Users,Users,0.96,Users/Month,BAAS-M365,Backup-as-a-Service for Microsoft 365,Basic,d722f92b-fbad-4ee4-8183-26e988d06c95,70,30,2.4,TRUE,02,Includes 20GB of pooled storage
SaaS Apps and Endpoints,Microsoft 365,Business,Preserved Users,Users,0.9,Users/Month,BAAS-M365,Backup-as-a-Service for Microsoft 365,Basic,,70,30,2.5,TRUE,02,"Includes 50GB of pooled storage, on Basic plan preserved users charged as active users"
SaaS Apps and Endpoints,Microsoft 365,Business,Preserved Users,Users,0.9,Users/Month,BAAS-M365,Backup-as-a-Service for Microsoft 365,Basic,d722f92b-fbad-4ee4-8183-26e988d06c95,70,30,1.75,TRUE,02,"Includes 50GB of pooled storage, on Basic plan preserved users charged as active users"
SaaS Apps and Endpoints,Microsoft 365,Business,Unlimited Storage,Users,1.44,Users/Month,BAAS-M365,Backup-as-a-Service for Microsoft 365,Basic,,70,30,4,FALSE,02,"Increases storage to 300GB per user, applies to all users"
SaaS Apps and Endpoints,Microsoft 365,Business,Sensitive Data Governance,Users,1.65,Users/Month,BAAS-M365,Backup-as-a-Service for Microsoft 365,Basic,,70,30,4,FALSE,02,Overlay across all users
SaaS Apps and Endpoints,Microsoft 365,Business,Security Posture & Observability,Users,1.69,Users/Month,BAAS-M365,Backup-as-a-Service for Microsoft 365,Basic,,70,30,4.6,FALSE,02,Overlay across all users
SaaS Apps and Endpoints,Microsoft 365,Business,Accelerated Ransomware Recovery,Users,3.38,Users/Month,BAAS-M365,Backup-as-a-Service for Microsoft 365,Basic,,70,30,9.2,FALSE,02,Overlay across all users
SaaS Apps and Endpoints,Google Workspaces,Elite,Active Users,Users,1.77,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Premium,,70,30,4.8,TRUE,02,Includes 50GB of pooled storage
SaaS Apps and Endpoints,Google Workspaces,Elite,Preserved Users,Users,0.9,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Premium,,70,30,2.5,TRUE,02,"Includes 50GB of pooled storage, first 10% of active users is free"
SaaS Apps and Endpoints,Google Workspaces,Elite,Unlimited Storage,Users,1.44,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Premium,,70,30,4,TRUE,02,"Increases storage to 300GB per user, applies to all users"
SaaS Apps and Endpoints,Google Workspaces,Elite,Sensitive Data Governance,Users,1.46,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Premium,,70,30,4,TRUE,02,Overlay across all users
SaaS Apps and Endpoints,Google Workspaces,Elite,Security Posture & Observability,Users,1.69,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Premium,,70,30,4.6,TRUE,02,Overlay across all users
SaaS Apps and Endpoints,Google Workspaces,Elite,Accelerated Ransomware Recovery,Users,3.38,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Premium,,70,30,9.2,TRUE,02,Overlay across all users
SaaS Apps and Endpoints,Google Workspaces,Enterprise,Active Users,Users,1.52,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Advanced,,70,30,4.2,TRUE,02,Includes 50GB of pooled storage
SaaS Apps and Endpoints,Google Workspaces,Enterprise,Preserved Users,Users,0.9,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Advanced,,70,30,2.5,TRUE,02,"Includes 50GB of pooled storage, first 10% of active users is free"
SaaS Apps and Endpoints,Google Workspaces,Enterprise,Unlimited Storage,Users,1.44,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Advanced,,70,30,4,TRUE,02,"Increases storage to 300GB per user, applies to all users"
SaaS Apps and Endpoints,Google Workspaces,Enterprise,Sensitive Data Governance,Users,1.46,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Advanced,,70,30,4,TRUE,02,Overlay across all users
SaaS Apps and Endpoints,Google Workspaces,Enterprise,Security Posture & Observability,Users,1.69,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Advanced,,70,30,4.6,TRUE,02,Overlay across all users
SaaS Apps and Endpoints,Google Workspaces,Enterprise,Accelerated Ransomware Recovery,Users,3.38,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Advanced,,70,30,9.2,TRUE,02,Overlay across all users
SaaS Apps and Endpoints,Google Workspaces,Business,Active Users,Users,0.96,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Basic,,70,30,2.7,TRUE,02,Includes 20GB of pooled storage
SaaS Apps and Endpoints,Google Workspaces,Business,Preserved Users,Users,0.9,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Basic,,70,30,5,TRUE,02,"Includes 50GB of pooled storage, on Basic plan preserved users charged as active users"
SaaS Apps and Endpoints,Google Workspaces,Business,Unlimited Storage,Users,1.44,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Basic,,70,30,4,FALSE,02,"Increases storage to 300GB per user, applies to all users"
SaaS Apps and Endpoints,Google Workspaces,Business,Sensitive Data Governance,Users,1.46,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Basic,,70,30,4,FALSE,02,Overlay across all users
SaaS Apps and Endpoints,Google Workspaces,Business,Security Posture & Observability,Users,1.69,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Basic,,70,30,4.6,FALSE,02,Overlay across all users
SaaS Apps and Endpoints,Google Workspaces,Business,Accelerated Ransomware Recovery,Users,3.38,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Basic,,70,30,9.2,FALSE,02,Overlay across all users
SaaS Apps and Endpoints,Endpoints,Elite,Active Users,Users,4.5,Users/Month,BAAS-EP,Backup-as-a-Service for Endpoints,Premium,,65,30,11.9,TRUE,02,Includes 50GB of pooled storage
SaaS Apps and Endpoints,Endpoints,Elite,Preserved Users,Users,0.9,Users/Month,BAAS-EP,Backup-as-a-Service for Endpoints,Premium,,65,30,2.5,TRUE,02,"Includes 50GB of pooled storage, first 10% of active users is free"
SaaS Apps and Endpoints,Endpoints,Elite,Unlimited Storage,Users,1.44,Users/Month,BAAS-EP,Backup-as-a-Service for Endpoints,Premium,,70,30,4,TRUE,02,"Increases storage to 300GB per user, applies to all users"
SaaS Apps and Endpoints,Endpoints,Elite,Sensitive Data Governance,Users,1.46,Users/Month,BAAS-EP,Backup-as-a-Service for Endpoints,Premium,,70,30,4,FALSE,02,Overlay across all users
SaaS Apps and Endpoints,Endpoints,Elite,Security Posture & Observability,Users,1.69,Users/Month,BAAS-EP,Backup-as-a-Service for Endpoints,Premium,,70,30,4.6,TRUE,02,Overlay across all users
SaaS Apps and Endpoints,Endpoints,Elite,Accelerated Ransomware Recovery,Users,3.38,Users/Month,BAAS-EP,Backup-as-a-Service for Endpoints,Premium,,70,30,9.2,TRUE,02,Overlay across all users
SaaS Apps and Endpoints,Endpoints,Enterprise,Active Users,Users,3.59,Users/Month,BAAS-EP,Backup-as-a-Service for Endpoints,Advanced,,65,30,9.5,TRUE,02,Includes 50GB of pooled storage
SaaS Apps and Endpoints,Endpoints,Enterprise,Preserved Users,Users,0.9,Users/Month,BAAS-EP,Backup-as-a-Service for Endpoints,Advanced,,65,30,2.5,TRUE,02,"Includes 50GB of pooled storage, first 10% of active users is free"
SaaS Apps and Endpoints,Endpoints,Enterprise,Unlimited Storage,Users,1.44,Users/Month,BAAS-EP,Backup-as-a-Service for Endpoints,Advanced,,70,30,4,TRUE,02,"Increases storage to 300GB per user, applies to all users"
SaaS Apps and Endpoints,Endpoints,Enterprise,Sensitive Data Governance,Users,1.46,Users/Month,BAAS-EP,Backup-as-a-Service for Endpoints,Advanced,,70,30,4,FALSE,02,Overlay across all users
SaaS Apps and Endpoints,Endpoints,Enterprise,Security Posture & Observability,Users,1.69,Users/Month,BAAS-EP,Backup-as-a-Service for Endpoints,Advanced,,70,30,4.6,TRUE,02,Overlay across all users
SaaS Apps and Endpoints,Endpoints,Enterprise,Accelerated Ransomware Recovery,Users,3.38,Users/Month,BAAS-EP,Backup-as-a-Service for Endpoints,Advanced,,70,30,9.2,TRUE,02,Overlay across all users
